wkt_geom,ele,time,magvar,geoidheigh,name,cmt,desc,img_filename,utm_x,utm_y
PointZ (107.50575397163629532 -6.9327089935541153 647.83215299999994841),647.8321530000001,51:49.0,0,0,223,2021-10-21 9:51:49am,2021-10-21 9:51:49am,TLC00009_00890_02300_01292.jpg,113767.83713469352,9232267.006418694
PointZ (107.50581901520490646 -6.93275400437414735 647.63031000000000859),647.63031,51:59.0,0,0,230,2021-10-21 9:51:59am,2021-10-21 9:51:59am,TLC00009_00890_02300_01302.jpg,113775.07210749504,9232262.074639997
PointZ (107.50583603046834469 -6.93276196718215942 646.70819100000005619),646.708191,52:10.0,0,0,235,2021-10-21 9:52:10am,2021-10-21 9:52:10am,TLC00009_00890_02300_01314.jpg,113776.96164967591,9232261.206658265
PointZ (107.50592202879488468 -6.93274101242423058 644.83715800000004492),644.837158,07:19.0,0,0,278,2021-10-21 10:07:19am,2021-10-21 10:07:19am,TLC00010_00001_03608_00778.jpg,113786.4617941688,9232263.59748933
PointZ (107.50590300187468529 -6.93273698911070824 644.79443400000002384),644.794434,07:29.0,0,0,282,2021-10-21 10:07:29am,2021-10-21 10:07:29am,TLC00010_00001_03608_00788.jpg,113784.35284211644,9232264.027541658
PointZ (107.50586796551942825 -6.93273397162556737 644.77526899999998022),644.7752690000001,07:37.0,0,0,288,2021-10-21 10:07:37am,2021-10-21 10:07:37am,TLC00010_00001_03608_00796.jpg,113780.47298137692,9232264.333142774
PointZ (107.50582697801291943 -6.93272500298917294 644.76214600000002974),644.762146,07:46.0,0,0,294,2021-10-21 10:07:46am,2021-10-21 10:07:46am,TLC00010_00001_03608_00805.jpg,113775.92966168927,9232265.292964235
PointZ (107.50580501742660999 -6.93270698189735413 644.75787400000001526),644.757874,07:53.0,0,0,301,2021-10-21 10:07:53am,2021-10-21 10:07:53am,TLC00010_00001_03608_00812.jpg,113773.48462093103,9232267.270841472
PointZ (107.50581599771976471 -6.9326469674706459 646.34368900000004032),646.3436889999999,08:32.0,0,0,331,2021-10-21 10:08:32am,2021-10-21 10:08:32am,TLC00010_00001_03608_00851.jpg,113774.65079950169,9232273.926242057
PointZ (107.50579697079956532 -6.93261000327765942 641.89977999999996428),641.89978,54:53.0,0,0,369,2021-10-21 10:54:53am,2021-10-21 10:54:53am,TLC00010_00001_03608_03603.jpg,113772.51495871652,9232278.004412394
PointZ (107.50592898577451706 -6.93267202936112881 642.35003700000004301),642.350037,57:26.0,0,0,414,2021-10-21 10:57:26am,2021-10-21 10:57:26am,TLC00011_00001_02836_00149.jpg,113787.17540203623,9232271.24286071
PointZ (107.50595396384596825 -6.9326300360262394 641.77191200000004301),641.771912,58:00.0,0,0,427,2021-10-21 10:58:00am,2021-10-21 10:58:00am,TLC00011_00001_02836_00183.jpg,113789.90539577988,9232275.913887499
PointZ (107.50581700354814529 -6.93283396773040295 640.64202899999997953),640.642029,01:43.0,0,0,507,2021-10-21 11:01:43am,2021-10-21 11:01:43am,TLC00011_00001_02836_00415.jpg,113774.91475313739,9232253.217261907
PointZ (107.50580300576984882 -6.93281100131571293 639.80602999999996428),639.80603,02:39.0,0,0,513,2021-10-21 11:02:39am,2021-10-21 11:02:39am,TLC00011_00001_02836_00476.jpg,113773.34690260718,9232255.749315863
PointZ (107.50585497356951237 -6.93282801657915115 640.13183600000002116),640.131836,08:18.0,0,0,641,2021-10-21 11:08:18am,2021-10-21 11:08:18am,TLC00011_00001_02836_00814.jpg,113779.11195501086,9232253.907308023
PointZ (107.50587902963161469 -6.93266901187598705 638.94702099999994971),638.947021,10:23.0,0,0,700,2021-10-21 11:10:23am,2021-10-21 11:10:23am,TLC00011_00001_02836_00940.jpg,113781.64440001326,9232271.536292994
PointZ (107.50577601604163647 -6.93279298022389412 638.93463099999996757),638.934631,10:48.0,0,0,719,2021-10-21 11:10:48am,2021-10-21 11:10:48am,TLC00011_00001_02836_00965.jpg,113770.34529768612,9232257.723090602
